dataId,node1,node2,birthYear,gender,height,weight,walkSpeed,temperature,precipitationProbability,precipitation,takeTime,weightShortest,weightOptimal
364, 예술대학-공대,구ROTC코너,2000,0,173.0,65.0,2,14.0,20.0,0.0,8.0,0.016195808886309896,-89.91810901197715
365, 구ROTC코너,구 ROTC앞 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,41.0,0.05879277556759533,-88.80765325979787
366, 구 ROTC앞 횡단보도,공대쪽문 앞 횡반보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,4.0,0.010813865118599305,-88.30482739453123
367, 공대쪽문 앞 횡반보도,글로벌센터 내려가는 계단,2000,0,173.0,65.0,2,14.0,20.0,0.0,14.0,0.02074491361244966,87.77550074846222
368, 글로벌센터 내려가는 계단,가천관 - 구 ROTC,2000,0,173.0,65.0,2,14.0,20.0,0.0,9.0,0.013706459363799054,89.93393794421443
369, 가천관 - 구 ROTC,가천관 앞 엘리베이터,2000,0,173.0,65.0,2,14.0,20.0,0.0,7.0,0.01354802328550384,0.0
370, 가천관 앞 엘리베이터,반도체대학 앞 동산 끝,2000,0,173.0,65.0,2,14.0,20.0,0.0,8.0,0.009969343471123413,89.71440171269417
371, 반도체대학 앞 동산 끝,반도체대학 앞 동산,2000,0,173.0,65.0,2,14.0,20.0,0.0,50.0,0.08124292509561092,-89.08735626748356
372, 반도체대학 앞 동산,반도체대학 앞 동산 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,43.0,0.06306487219639041,-89.31826783162414
373, 반도체대학 앞 동산 횡단보도,비전타워-반도체대학동산 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,15.0,0.022740631218881036,0.0
374, 비전타워-반도체대학동산 횡단보도,비전타워-바나연 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,16.0,0.027574394561825238,0.0
375, 비전타워-바나연 횡단보도,바나연 코너 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,8.0,0.013488598700853605,0.0
376, 바나연 코너 횡단보도,광장계단 근처,2000,0,173.0,65.0,2,14.0,20.0,0.0,14.0,0.016042401238334458,86.93904247503949
377, 광장계단 근처,반도체대학 앞 동산 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,30.0,0.04199530697230977,-82.03126868001293
378, 반도체대학 앞 동산 횡단보도,반도체대학 코너,2000,0,173.0,65.0,2,14.0,20.0,0.0,11.0,0.01638386516149479,0.0
379, 반도체대학 코너,비전타워-반도체대학,2000,0,173.0,65.0,2,14.0,20.0,0.0,12.0,0.0209627703928093,0.0
380, 비전타워-반도체대학,비전타워-반도체대학동산 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,3.0,0.007019862118126532,0.0
383, 비전타워-반도체대학동산 횡단보도,비전타워-가천대학교 분기점,2000,0,173.0,65.0,2,14.0,20.0,0.0,18.0,0.026837858617868592,-86.9275563312006
384, 비전타워-가천대학교 분기점,비전타워 쪽문,2000,0,173.0,65.0,2,14.0,20.0,0.0,8.0,0.012396137490274834,0.0
385, 비전타워 쪽문,비전타워-가천대학교 코너,2000,0,173.0,65.0,2,14.0,20.0,0.0,13.0,0.018097596807894203,0.0
386, 비전타워-가천대학교 코너,비전타워 정문,2000,0,173.0,65.0,2,14.0,20.0,0.0,59.0,0.06410842606365887,0.0
387, 비전타워 정문,가천대학교 1번출구,2000,0,173.0,65.0,2,14.0,20.0,0.0,26.0,0.03227820242010228,-83.8589419814735
388, 비전타워-바나연 횡단보도,바나연 코너 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,8.0,0.013488598700853605,0.0
389, 바나연 코너 횡단보도,광장계단 근처,2000,0,173.0,65.0,2,14.0,20.0,0.0,9.0,0.016042401238334458,86.93904247503949
390, 광장계단 근처,가천관 - 공과대학 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,98.0,0.10849532636516229,89.38454601906092
391, 가천관 - 공과대학 횡단보도,공과대학-가천관 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,17.0,0.019015874688172705,0.0
392, 공과대학-가천관 횡단보도,공과대학-산학협력관 계단,2000,0,173.0,65.0,2,14.0,20.0,0.0,65.0,0.06917752593840373,-89.8224599332683
393, 공과대학-산학협력관 계단,공과대학-가천관 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,50.0,0.06917752593840373,89.8224599332683
394, 공과대학-가천관 횡단보도,바나연 코너 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,77.0,0.11167449636651591,-89.38478544072646
395, 광장계단 근처,가천관 올라가는 계단,2000,0,173.0,65.0,2,14.0,20.0,0.0,21.0,0.03365512748220759,-89.76521976120053
396, 가천관 올라가는 계단,가천관쪽 계단 끝지점,2000,0,173.0,65.0,2,14.0,20.0,0.0,38.0,0.036617724193623205,89.8854354419033
397, 가천관쪽 계단 끝지점,반도체대학 앞 동산 끝,2000,0,173.0,65.0,2,14.0,20.0,0.0,14.0,0.020774679312000787,0.0
